name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,easting,northing,longitude,latitude,runtime,ticket_price,,
House of Illustration,2 Granary Square King's Cross London,NA,NA,Camden,http://www.houseofillustration.org.uk/,5188521,E09000007,St. Pancras and Somers Town,E05000143,530176.0001,183615.0001,-0.122877374,51.53592987,03/20/2022,£2.5 - £5.00,,
V&A Museum of Childhood,Cambridge Heath Road,NA,NA,Tower Hamlets,http://www.museumofchildhood.org.uk/,6039165,E09000030,Bethnal Green,E05009317,535023.0001,182920.0001,-0.053293375,51.52854504,03/20/2022,free,,
Ragged School Museum,46-50 Copperfield Road,NA,NA,Tower Hamlets,http://www.raggedschoolmuseum.org.uk/,6048400,E09000030,Mile End,E05009327,536387.0001,181800.0001,-0.03407382,51.51815155,03/20/2022,free,,
The Tower of London,St Katharine's & Wapping,London,NA,Tower Hamlets,www.â€‹hrp.â€‹org.â€‹uk/â€‹TowerOfLondon/â€‹,6086565,E09000030,St. Katharine's & Wapping,E05009330,533602.0001,180570.0001,-0.074659304,51.50776272,03/20/2022,free,,
"Royal Armouries, Tower of London",HM Tower Of London,St Katharine's & Wapping,NA,Tower Hamlets,https://royalarmouries.org/visit-us/tower-of-london,6086565,E09000030,St. Katharine's & Wapping,E05009330,533602.0001,180570.0001,-0.074659304,51.50776272,03/20/2022,free,,
The Fusilier Museum London,HM Tower of London,35 Tower Hill,St Katharine's & Wapping,Tower Hamlets,www.â€‹fusiliermuseumlondon.â€‹org,6086845,E09000030,St. Katharine's & Wapping,E05009330,533675.0001,180585.0001,-0.073602252,51.50788027,03/20/2022,£2.5 - £5.00,,
Royal London Hospital Archives and Museum,Church of St Augustine with St Philip,Newark Street,NA,Tower Hamlets,NA,6118397,E09000030,Whitechapel,E05009336,534671.0001,181598.0001,-0.05887063,51.5167479,03/20/2022,free,,
Museum of the Royal Pharmaceutical Society,1 Lambeth High Street,NA,NA,Tower Hamlets,www.â€‹rpsgb.â€‹org/â€‹museum,6136082,E09000030,Whitechapel,E05009336,534153.0001,180674.0001,-0.066684113,51.50856685,03/20/2022,free,,
Museum of London Docklands,No. 1 Warehouse,West India Quay,NA,Tower Hamlets,http://www.museumoflondon.org.uk/docklands,6151122,E09000030,Canary Wharf,E05009323,537241.0001,180594.0001,-0.022241432,51.5071062,03/20/2022,£2.5 - £5.00,,
Trades Union Congress (TUC) Library Collections,Special Collections  London Metropolitan University,Wash Houses,Old Castle Street,Tower Hamlets,http://www.londonmet.ac.uk/tuc,6151239,E09000030,Spitalfields & Banglatown,E05009333,533736.0001,181408.0001,-0.072411463,51.51526246,03/20/2022,free,,
Kelmscott House,26 Upper Mall,Hammersmith,NA,Hammersmith and Fulham,http://www.culture24.org.uk/se000423,34008094,E09000013,Ravenscourt Park,E05000261,522598.0001,178324.0001,-0.233934067,51.49007025,03/20/2022,£2.5 - £5.00,,
Fulham Palace,Fulham Palace,Bishop's Ave,Fulham,Hammersmith and Fulham,www.fulhampalace.org/,34022825,E09000013,Palace Riverside,E05000259,524062.0001,176130.0001,-0.213626422,51.47003084,03/20/2022,£5.00 - £7.00,,
Wandle Industrial Museum,The Vestry Hall Annexe,London Road,Mitcham,Merton,http://www.wandle.org/,48083242,E09000024,Cricket Green,E05000458,527527.0001,168619.0001,-0.166466478,51.4017516,03/20/2022,£2.5 - £5.00,,
Museum of Wimbledon,22 Ridgway,Wimbledon,NA,Merton,http://www.wimbledonmuseum.org.uk/,48107954,E09000024,Village,E05000472,524089.3001,170880.0001,-0.215074838,51.42283672,03/20/2022,£5.00 - £7.00,,
Wimbledon Lawn Tennis Museum,The All England Lawn Tennis Club,Church Road,Wimbledon,Merton,http://www.wimbledon.com/museum,48129052,E09000024,Village,E05000472,524243.0001,172037.0001,-0.212459281,51.43320243,03/20/2022,free,,
Barts Pathology Museum,3rd Floor,Robin Brook Centre  St Bartholomew's Hospital,West Smithfield,City and County of the City of London,www.qmul.ac.uk/pathologymuseum/,95512892,E09000001,Farringdon Without,E05009305,531855.9501,181567.3001,-0.099433593,51.51713619,03/20/2022,free,,
St Bartholomews Hospital Museum,North Wing,St Bartholomewâ€™s Hospital,West Smithfield,City and County of the City of London,https://www.bartshealth.nhs.uk/st-bartholomews-museum-and-archives,95512892,E09000001,Farringdon Without,E05009305,531855.9501,181567.3001,-0.099433593,51.51713619,03/20/2022,£5.00 - £7.00,,
Valence House Museum,Becontree Ave,NA,NA,Barking and Dagenham,www.â€‹lbbd.â€‹gov.â€‹uk/â€‹heritage,100002560,E09000002,Valence,E05000040,548043.0001,186539.0001,0.135812252,51.55780231,03/20/2022,£5.00 - £7.00,,
Dorich House Museum,Kingston University,67 Kingston Vale,NA,Kingston upon Thames,https://www.dorichhousemuseum.org.uk/,128010892,E09000021,Coombe Hill,E05000406,520834.0001,171913.0001,-0.261523826,51.4328253,03/20/2022,free,,
Kingston Museum (and Heritage Service),W6 9TA,NA,NA,Kingston upon Thames,http://www.kingston.gov.uk/museum,128019799,E09000021,Grove,E05000408,518310.0001,169207.0001,-0.298723543,51.40903476,03/20/2022,£7.00 - £9.00,,
The Stephens Collection,Avenue House,East End Road,Finchley,Barnet,http://www.london-northwest.com/sites/stephens,200035687,E09000003,Finchley Church End,E05000051,525148.3801,190183.0601,-0.192996205,51.59610036,03/20/2022,£5.00 - £7.00,,
Royal Air Force Museum London (RAF),Grahame Park Way,Hendon,NA,Barnet,http://www.rafmuseum.org/,200049886,E09000003,Colindale,E05000046,522123.0001,190370.1001,-0.236591661,51.59844565,03/20/2022,free,,
Barnet Museum (and Local History Society),31 Wood Street,Barnet,Hertfordshire,Barnet,www.barnetmuseum.co.uk,200128241,E09000003,Underhill,E05000060,524459.5401,196427.9201,-0.200717589,51.65238108,03/20/2022,free,,
Museum of Domestic Design and Architecture,Middlesex University,9 Boulevard Drive,Beaufort Park,Barnet,http://www.culture24.org.uk/se000059,200141133,E09000003,Colindale,E05000046,521871.0001,190049.0001,-0.240340162,51.59561416,03/20/2022,£5.00 - £7.00,,
Brent Museum,Willesden Library Centre,95 High Rd,NA,Brent,https://www.brent.gov.uk/museum,202149110,E09000005,Willesden Green,E05000105,522904.0001,184570.0001,-0.22734961,51.54614396,03/20/2022,£2.5 - £5.00,,
Enfield Museum Service,Enfield Museum,The Dugdale Centre Thomas Hardy House,39 London Road,Enfield,http://www.enfield.gov.uk/museum,207007119,E09000010,Grange,E05000200,532849.2801,196356.6601,-0.079527242,51.64982039,03/20/2022,£7.00 - £9.00,,
ClockmakersÊ¼ Museum,Exhibition Road,Kensington,NA,Kensington and Chelsea,http://www.clockmakers.org/,217031151,E09000020,Brompton & Hans Town,E05009389,526676.0001,179171.0001,-0.174916546,51.49678399,03/20/2022,£2.5 - £5.00,,
Leighton House Museum,12 Holland Park Road,NA,NA,Kensington and Chelsea,http://http/www.rbkc.gov.uk/subsites/museums.aspx,217039506,E09000020,Holland,E05009397,524826.0001,179269.0001,-0.201521502,51.49807644,03/20/2022,free,,
Design Museum,224-238 Kensington High Street (Holland Park),NA,NA,Kensington and Chelsea,http://designmuseum.org/,217044656,E09000020,Holland,E05009397,525026.2701,179417.0801,-0.198585083,51.49936312,03/20/2022,free,,
Kensington Palace (State Apartments and Royal Ceremonial Dress Collection),Kensington Palace/Palace Green,NA,NA,Kensington and Chelsea,http://www.hrp.org.uk%0Bwww.kensingtonpalace@hrp.org.uk/,217064431,E09000020,Campden,E05009390,525854.0001,180030.0001,-0.18644659,51.50468832,03/20/2022,free,,
National Army Museum,Royal Hospital Road,Chelsea,NA,Kensington and Chelsea,http://www.nam.ac.uk/,217075883,E09000020,Royal Hospital,E05009403,527828.2701,177968.3901,-0.158760019,51.48571566,03/20/2022,£5.00 - £7.00,,
British Architectural Library â€“ Drawings and Archives Collections,Victoria and Albert Museum,Cromwell Road,Knightsbridge,Kensington and Chelsea,https://www.architecture.com/about/riba-library-and-collections,217108016,E09000020,Brompton & Hans Town,E05009389,526982.1301,179134.8301,-0.170521415,51.49639021,03/20/2022,£5.00 - £7.00,,
Natural History Museum,Cromwell Road,NA,NA,Kensington and Chelsea,http://www.nhm.ac.uk/,217108017,E09000020,Brompton & Hans Town,E05009389,526652.0001,179089.0001,-0.175291575,51.49605236,03/20/2022,free,,
Carlyleâ€™s House,24 Cheyne Row,NA,NA,Kensington and Chelsea,https://www.nationaltrust.org.uk/carlyles-house,217110505,E09000020,Chelsea Riverside,E05009391,527184.0001,177719.0001,-0.168124823,51.48361945,03/20/2022,£2.5 - £5.00,,
The Science Museum,Exhibition Rd,Kensington,NA,Kensington and Chelsea,https://www.sciencemuseum.org.uk/,217118723,E09000020,Brompton & Hans Town,E05009389,526676.0001,179171.0001,-0.174916546,51.49678399,03/20/2022,£5.00 - £7.00,,
Victoria and Albert Museum,Cromwell Road,South Kensington,NA,Kensington and Chelsea,http://www.vam.ac.uk/,217119925,E09000020,Brompton & Hans Town,E05009389,526974.9001,179139.2501,-0.170623933,51.49643156,03/20/2022,£5.00 - £7.00,,
The Estorick Collection of Modern Italian Art,39A Canonbury Square,NA,NA,Islington,www.â€‹estorickcollection.â€‹com,5300016244,E09000019,St. Mary's,E05000379,531811.0001,184485.0001,-0.098988883,51.54336953,03/20/2022,£5.00 - £7.00,,
John WesleyÊ¼s House and The Museum of Methodism,Wesley's Chapel,49 City Road,NA,Islington,http://www.culture24.org.uk/se000445,5300019876,E09000019,Bunhill,E05000367,532808.0001,182253.0001,-0.085460513,51.52307582,03/20/2022,free,,
"Wesleyâ€™s Chapel, Museum of Methodism and John Wesleyâ€™s House",49 City Road,NA,NA,Islington,http://www.wesleychapel.org.uk/,5300019879,E09000019,Bunhill,E05000367,532844.0001,182274.0001,-0.084933935,51.52325609,03/20/2022,free,,
London Canal Museum,12/13 New Wharf Road,Kingâ€™s Cross,NA,Islington,http://www.canalmuseum.org.uk/,5300066428,E09000019,Caledonian,E05000368,530471.0001,183376.0001,-0.118714556,51.53371372,03/20/2022,free,,
Museum of the Order of St John,St Johnâ€™s Gate,26 St John's Ln,NA,Islington,http://www.museumstjohn.org.uk/,5300085644,E09000019,Clerkenwell,E05000370,531740.0001,182040.0001,-0.100927156,51.52141165,03/20/2022,£2.5 - £5.00,,
Whitehall Historic House,1 Malden Road,Cheam,Surrey,Sutton,https://whitehallmuseum.wordpress.com/,5870019263,E09000029,Cheam,E05000560,524223.0001,163765.0001,-0.215642786,51.35885564,03/20/2022,£2.5 - £5.00,,
Little Holland House,40 Beeches Ave,Carshalton,NA,Sutton,http://www.sutton.gov.uk/,5870060822,E09000029,Carshalton South and Clockhouse,E05000559,527481.0001,163389.0001,-0.169004517,51.35475421,03/20/2022,£5.00 - £7.00,,
Honeywood Museum,Honeywood Walk,Carshalton,Surrey,Sutton,http://www.friendsofhoneywood.co.uk/,5870115967,E09000029,Carshalton Central,E05000558,527837.0001,164494.0001,-0.163496882,51.36460606,03/20/2022,free,,
Tate Modern,Bankside,NA,NA,Southwark,http://www.tate.org.uk/modern,10000813334,E09000028,Borough & Bankside,E05011095,531999.0001,180455.0001,-0.097789441,51.50710595,03/20/2022,£2.5 - £5.00,,
Fashion and Textile Museum,83 Bermondsey Street London,NA,NA,Southwark,http://www.ftmlondon.org/,10000818830,E09000028,London Bridge & West Bermondsey,E05011104,533238.0001,179771.0001,-0.080203629,51.50066771,03/20/2022,£5.00 - £7.00,,
Musical Museum,399 High St,Brentford,NA,Hounslow,https://www.musicalmuseum.co.uk/,10001271544,E09000018,Brentford,E05000347,518604.3001,177932.0001,-0.291568435,51.48739874,03/20/2022,£5.00 - £7.00,,
Museum of Army Music,Royal Military School of Music,Kneller Hall,2 Kneller Rd,Richmond upon Thames,www.army.mod.uk â€º Corps of Army Music â€º The Royal Military School of Music,10002261149,E09000027,Whitton,E05000533,514693.0001,174192.0001,-0.349097154,51.45458757,03/20/2022,£7.00 - £9.00,,
Hampton Court Palace,Molesey,East Molesey,NA,Richmond upon Thames,https://www.hrp.org.uk/hampton-court-palace/,10002266633,E09000027,Hampton,E05000520,515727.0001,168514.0001,-0.336075749,51.40333861,03/20/2022,£7.00 - £9.00,,
Kew Palace,Royal Botanic Gardens Kew,Richmond,NA,Richmond upon Thames,https://www.hrp.org.uk/kew-palace/,10002266941,E09000027,Kew,E05000524,518747.0001,177642.0001,-0.289611457,51.48476211,03/20/2022,£5.00 - £7.00,,
Strawberry Hill House,268 Waldegrave Rd,Twickenham,NA,Richmond upon Thames,http://www.strawberryhillhouse.org.uk/,10002267260,E09000027,South Twickenham,E05000529,515842.0001,172340.0001,-0.333172189,51.43770637,03/20/2022,free,,
Heath Robinson Museum,Pinner Memorial Park,West End Lane,Pinner,Harrow,www.heathrobinsonmuseum.org,10002293329,E09000015,Pinner South,E05000298,511853.9401,189412.8801,-0.385111771,51.59197479,03/20/2022,free,,
Harrow Museum and Heritage Centre,Headstone Manor,Pinner View,Â Harrow,Harrow,http://www.harrow.gov.uk/info/200070/museums_and_galleries/190/harrow_museum,10002293456,E09000015,Headstone North,E05000292,514038.0001,189683.0001,-0.353505542,51.59396486,03/20/2022,free,,
Hackney Museum,1 Reading Lane,NA,NA,Hackney,http://www.hackney.gov.uk/cm-museum.htm,10008313143,E09000012,Hackney Central,E05009372,534895.0001,184633.0001,-0.054481199,51.54397082,03/20/2022,£5.00 - £7.00,,
House Mill,Three Mill Lane,Bromley-by-Bow,NA,Newham,NA,10008997232,E09000025,Stratford and New Town,E05000492,538309.0001,182825.0001,-0.005984978,51.52689584,03/20/2022,free,,
Royal Museums Greenwich,Park Row,Greenwich,NA,Greenwich,http://www.rmg.co.uk/,10010231322,E09000011,Greenwich West,E05000222,538716.6501,177688.8601,-0.002131999,51.48063722,03/20/2022,free,,
Eltham Palace,Court Yard,NA,NA,Greenwich,http://www.english-heritage.org.uk/elthampalace,10010235842,E09000011,Eltham South,E05000219,542410.3001,173988.4501,0.049538845,51.44646434,03/20/2022,free,,
National Maritime Museum,Romney Road,NA,NA,Greenwich,http://www.rmg.co.uk/national-maritime-museum#,10010243516,E09000011,Greenwich West,E05000222,538613.8201,177662.4501,-0.003622409,51.48042509,03/20/2022,£7.00 - £9.00,,
Charterhouse,Sutton's Hospital,Charterhouse Square,NA,Islington,http://www.thecharterhouse.org/,10023218636,E09000019,Bunhill,E05000367,531913.0001,181977.0001,-0.098458374,51.52080505,03/20/2022,£2.5 - £5.00,,
Cinema Museum,"The Masterâ€™s House, The Old Lambeth Workhouse",2 Dugard Way,Kennington,Lambeth,http://www.rmg.co.uk/cuttysark,10023852579,E09000022,Prince's,E05000427,531641.0001,178739.0001,-0.103585874,51.49176679,03/20/2022,free,,
Michael Faraday Museum at the Royal Institution,The Royal Institution,21 Albemarle Street,NA,City of Westminster,http://www.rigb.org/,10033528771,E09000033,West End,E05000649,528996.0001,180637.0001,-0.14097368,51.50943533,03/20/2022,£5.00 - £7.00,,
Tate Britain,Millbank,NA,NA,City of Westminster,http://www.tate.org.uk/britain,10033538284,E09000033,Vincent Square,E05000646,530117.0001,178543.0001,-0.125600103,51.49035804,03/20/2022,£2.5 - £5.00,,
The Society of Antiquaries of London - Burlington House,Burlington House,Piccadilly,Mayfair,City of Westminster,www.â€‹sal.â€‹org.â€‹uk,10033541032,E09000033,West End,E05000649,529194.0001,180507.0001,-0.138169461,51.50822168,03/20/2022,£2.5 - £5.00,,
Royal Academy of Arts,Burlington House,Piccadilly,NA,City of Westminster,http://www.royalacademy.org.uk/,10033541035,E09000033,West End,E05000649,529205.0001,180548.0001,-0.137996003,51.50858766,03/20/2022,free,,
MCC Museum,Lordâ€™s Ground,NA,NA,City of Westminster,http://www.lords.org/,10033543781,E09000033,Regent's Park,E05000643,526828.0001,182652.0001,-0.171475242,51.52803681,03/20/2022,free,,
The Courtauld Gallery,Somerset House,Strand,NA,City of Westminster,http://www.courtauld.ac.uk/gallery,10033544134,E09000033,St. James's,E05000644,530700.0001,180800.0001,-0.116370226,51.51050867,03/20/2022,£2.5 - £5.00,,
Household Cavalry Museum,Horseguards Parade,Whitehall,NA,City of Westminster,http://www.culture24.org.uk/se000447,10033545888,E09000033,St. James's,E05000644,530073.0001,180112.0001,-0.125655069,51.50446986,03/20/2022,£7.00 - £9.00,,
Royal Academy of Music Museum,1â€“5 York Gate,Marylebone Road,NA,City of Westminster,http://www.ram.ac.uk/museum,10033546476,E09000033,Marylebone High Street,E05000641,528279.0001,182128.0001,-0.150758163,51.52299939,03/20/2022,£7.00 - £9.00,,
Guards Museum,Wellington Barracks,Birdcage Walk,NA,City of Westminster,http://www.theguardsmuseum.com/,10033547407,E09000033,St. James's,E05000644,529322.0001,179495.0001,-0.136697005,51.4990968,03/20/2022,free,,
Banqueting House Whitehall,Whitehall,NA,NA,City of Westminster,www.hrp.org.uk,10033549112,E09000033,St. James's,E05000644,530165.0001,180065.0001,-0.124347466,51.50402625,03/20/2022,£7.00 - £9.00,,
Imperial College Healthcare Charity Art Collection at St Mary's Hospital,Ground Floor,Clarence Memorial Wing St Mary's Hospital,Praed Street,City of Westminster,NA,10033554476,E09000033,Hyde Park,E05000636,526819.0001,181411.0001,-0.172051702,51.51688486,03/20/2022,free,,
The Wallace Collection,Hertford House,Manchester Square,NA,City of Westminster,http://www.wallacecollection.org/,10033582984,E09000033,Marylebone High Street,E05000641,528258.0001,181422.0001,-0.151317737,51.51665878,03/20/2022,£2.5 - £5.00,,
British Optical Association Museum,The College of Optometrists,41-42 Craven St,NA,City of Westminster,https://www.college-optometrists.org/the-college/museum.html,10033590012,E09000033,St. James's,E05000644,530195.3701,180433.6701,-0.123773966,51.50733274,03/20/2022,free,,
Anaesthesia Museum,21 Portland Pl,Marylebone,NA,City of Westminster,https://www.aagbi.org/education/heritage-centre/anaesthesia-museum,10033598850,E09000033,West End,E05000649,528792.0001,181683.0001,-0.143529719,51.51888307,03/20/2022,£5.00 - £7.00,,
London Transport Museum,39 Wellington Street,NA,NA,City of Westminster,http://www.ltmuseum.co.uk/,10033620435,E09000033,St. James's,E05000644,530470.0001,180917.0001,-0.119639726,51.51161339,03/20/2022,free,,
"Courtauld Gallery, University of London",Somerset House,Â Strand,NA,City of Westminster,http://www.courtauld.ac.uk/,10033626383,E09000033,St. James's,E05000644,530773.1201,180770.0601,-0.115328151,51.51022266,03/20/2022,free,,
Museum of the Royal Philatelic Society London,Royal Philatelic Society London,41 Devonshire Place,Marylebone,City of Westminster,http://www.rpsl.org.uk/,10033629406,E09000033,Marylebone High Street,E05000641,528441.0001,181906.0001,-0.14850506,51.52096728,03/20/2022,free,,
Churchill (Museum & Cabinet) War Rooms,Clive Steps,King Charles Street,NA,City of Westminster,http://iwm.org.uk/,10033636263,E09000033,St. James's,E05000644,529932.3801,179796.5201,-0.127796465,51.50166677,03/20/2022,free,,
Havering Museum,19-21 High St,Romford,NA,Havering,www.haveringmuseum.org.uk/,10070706838,E09000016,Romford Town,E05000319,551123.9201,188812.4201,0.181204103,51.5774139,03/20/2022,£2.5 - £5.00,,
Marble Hill House,Richmond Rd,Twickenham,NA,Richmond upon Thames,http://www.culture24.org.uk/se000472,10070709920,E09000027,Twickenham Riverside,E05000531,517302.0001,173630.0001,-0.311746658,51.44900128,03/20/2022,£5.00 - £7.00,,
Museum of Richmond,Old Town Hall,Whittaker Avenue,Richmond,Richmond upon Thames,www.â€‹museumofrichmond.â€‹com,10070710719,E09000027,South Richmond,E05000528,517746.0001,174675.0001,-0.305011527,51.45830224,03/20/2022,£2.5 - £5.00,,
World Rugby Museum,Twickenham Stadium,Rugby Road,Twickenham,Richmond upon Thames,http://www.rfu.com/museum,10070721329,E09000027,St. Margarets and North Twickenham,E05000527,515383.0001,174231.0001,-0.33915697,51.4547979,03/20/2022,free,,
Islington Museum,Â 245 St John St,Clerkenwell,NA,Islington,NA,10091003195,E09000019,Clerkenwell,E05000370,531587.0001,182544.0001,-0.102943118,51.52597704,03/20/2022,£2.5 - £5.00,,
Bentley Priory Museum,Mansion House Drive Stanmore,NA,NA,Harrow,www.bentleypriory.org,10091091981,E09000015,Stanmore Park,E05000303,515481.1301,193281.0001,-0.331493386,51.62601154,03/20/2022,£2.5 - £5.00,,
Black Cultural Archives,1 Windrush Square,NA,NA,Lambeth,www.bcaheritage.org.uk,10091118537,E09000022,Coldharbour,E05000420,531079.1601,175189.9501,-0.11299205,51.45999969,03/20/2022,£2.5 - £5.00,,
Redbridge Museum,Redbridge Central Library,Clements Road,lford,Redbridge,redbridgefirstworldwar.org.uk,10091799736,E09000026,Ilford Town,E05011246,543963.0001,186394.0001,0.076933039,51.55755549,03/20/2022,free,,
Horniman Museum and Gardens,100 London Road,Forest Hill,NA,Lewisham,http://www.horniman.ac.uk/,10091839078,E09000023,Forest Hill,E05000444,534876.0001,173132.0001,-0.059150882,51.44061193,03/20/2022,free,,
Library and Museum of Freemasonry,Freemasons' Hall,60 Great Queen Street,NA,Camden,http://www.freemasonry.london.museum/,10091860258,E09000007,Holborn and Covent Garden,E05000138,530469.0001,181255.0001,-0.119529012,51.51465144,03/20/2022,£2.5 - £5.00,,
Charles Dickens Museum,48 Doughty St,London,NA,Camden,https://dickensmuseum.com/,10091862283,E09000007,Holborn and Covent Garden,E05000138,530783.0001,182202.0001,-0.114654399,51.52309009,03/20/2022,free,,
Crossness Engines,The Old Works. Thames Water S.T.W.,Bazalgette Way,Abbey Wood,Bexley,http://www.crossness.org.uk/,10091915267,E09000004,Thamesmead East,E05011232,548200.0001,180700.0001,0.13561791,51.50529066,03/20/2022,£5.00 - £7.00,,
National Portrait Gallery,St Martinâ€™s Place,NA,NA,City of Westminster,http://www.npg.org.uk/,1.00E+11,E09000033,St. James's,E05000644,529976.0001,180601.0001,-0.126871767,51.50888716,03/20/2022,£2.5 - £5.00,,
Hunterian Museum at the Royal College of Surgeons,Royal College of Surgeons,35-43 Lincolnâ€™s Inn Fields,NA,City of Westminster,http://www.medicalmuseums.org/,10091945440,E09000033,St. James's,E05000644,530832.0001,181278.0001,-0.114291539,51.51477419,03/20/2022,£5.00 - £7.00,,
